Ensembl Gene ID	Ensembl Transcript ID	dN	dS	Chromosome Name	Chimpanzee Ensembl Gene ID	% Identity with respect to query gene
ENSG00000198791	ENST00000361272	0.00300	0.01130	8	ENSPTRG00000041833	99
ENSG00000198791	ENST00000518541	0.00300	0.01130	8	ENSPTRG00000041833	99
ENSG00000198791	ENST00000523917	0.00300	0.01130	8	ENSPTRG00000041833	99
ENSG00000198791	ENST00000519954	0.00300	0.01130	8	ENSPTRG00000041833	99
ENSG00000198791	ENST00000519918	0.00300	0.01130	8	ENSPTRG00000041833	99
ENSG00000198791	ENST00000522062	0.00300	0.01130	8	ENSPTRG00000041833	99
ENSG00000198791	ENST00000524358	0.00300	0.01130	8	ENSPTRG00000041833	99
ENSG00000198791	ENST00000519998	0.00300	0.01130	8	ENSPTRG00000041833	99
ENSG00000198791	ENST00000518021	0.00300	0.01130	8	ENSPTRG00000041833	99
ENSG00000198791	ENST00000520178	0.00300	0.01130	8	ENSPTRG00000041833	99
ENSG00000198791	ENST00000518885	0.00300	0.01130	8	ENSPTRG00000041833	99
ENSG00000198791	ENST00000523649	0.00300	0.01130	8	ENSPTRG00000041833	99
ENSG00000180182	ENST00000324817	0.00150	0.01070	X	ENSPTRG00000021805	100
ENSG00000180182	ENST00000416199	0.00150	0.01070	X	ENSPTRG00000021805	100
ENSG00000180182	ENST00000433003	0.00150	0.01070	X	ENSPTRG00000021805	100
ENSG00000180182	ENST00000472736	0.00150	0.01070	X	ENSPTRG00000021805	100
ENSG00000180182	ENST00000496531	0.00150	0.01070	X	ENSPTRG00000021805	100
ENSG00000180182	ENST00000482034	0.00150	0.01070	X	ENSPTRG00000021805	100
ENSG00000180182	ENST00000492219	0.00150	0.01070	X	ENSPTRG00000021805	100
ENSG00000180182	ENST00000495865	0.00150	0.01070	X	ENSPTRG00000021805	100
ENSG00000180182	ENST00000463072	0.00150	0.01070	X	ENSPTRG00000021805	100
ENSG00000171867	ENST00000379440	0.00360	0.02110	20	ENSPTRG00000013216	99
ENSG00000171867	ENST00000430350	0.00360	0.02110	20	ENSPTRG00000013216	99
ENSG00000171867	ENST00000424424	0.00360	0.02110	20	ENSPTRG00000013216	99
ENSG00000171867	ENST00000457586	0.00360	0.02110	20	ENSPTRG00000013216	99
ENSG00000050344	ENST00000056233	0.00780	0.01440	7	ENSPTRG00000019000	98
ENSG00000050344	ENST00000607375	0.00780	0.01440	7	ENSPTRG00000019000	98
ENSG00000050344	ENST00000606261	0.00780	0.01440	7	ENSPTRG00000019000	98
ENSG00000221869	ENST00000408965	0.00290	0.01920	8	ENSPTRG00000042020	99
ENSG00000125285	ENST00000376945			13		
ENSG00000273173	ENST00000577949	0.00000	0.00000	15	ENSPTRG00000034046	100
ENSG00000273173	ENST00000580062	0.00000	0.00000	15	ENSPTRG00000034046	100
ENSG00000273173	ENST00000338327	0.00000	0.00000	15	ENSPTRG00000034046	100
