Ensembl Gene ID	Ensembl Transcript ID	dN	% Identity with respect to query gene	Mouse Ensembl Gene ID	dS
ENSG00000198791	ENST00000361272	0.00160	100	ENSMUSG00000031601	0.31860
ENSG00000198791	ENST00000518541	0.00160	100	ENSMUSG00000031601	0.31860
ENSG00000198791	ENST00000523917	0.00160	100	ENSMUSG00000031601	0.31860
ENSG00000198791	ENST00000519954	0.00160	100	ENSMUSG00000031601	0.31860
ENSG00000198791	ENST00000519918	0.00160	100	ENSMUSG00000031601	0.31860
ENSG00000198791	ENST00000522062	0.00160	100	ENSMUSG00000031601	0.31860
ENSG00000198791	ENST00000524358	0.00160	100	ENSMUSG00000031601	0.31860
ENSG00000198791	ENST00000519998	0.00160	100	ENSMUSG00000031601	0.31860
ENSG00000198791	ENST00000518021	0.00160	100	ENSMUSG00000031601	0.31860
ENSG00000198791	ENST00000520178	0.00160	100	ENSMUSG00000031601	0.31860
ENSG00000198791	ENST00000518885	0.00160	100	ENSMUSG00000031601	0.31860
ENSG00000198791	ENST00000523649	0.00160	100	ENSMUSG00000031601	0.31860
ENSG00000180182	ENST00000324817	0.01620	97	ENSMUSG00000064127	0.36960
ENSG00000180182	ENST00000416199	0.01620	97	ENSMUSG00000064127	0.36960
ENSG00000180182	ENST00000433003	0.01620	97	ENSMUSG00000064127	0.36960
ENSG00000180182	ENST00000472736	0.01620	97	ENSMUSG00000064127	0.36960
ENSG00000180182	ENST00000496531	0.01620	97	ENSMUSG00000064127	0.36960
ENSG00000180182	ENST00000482034	0.01620	97	ENSMUSG00000064127	0.36960
ENSG00000180182	ENST00000492219	0.01620	97	ENSMUSG00000064127	0.36960
ENSG00000180182	ENST00000495865	0.01620	97	ENSMUSG00000064127	0.36960
ENSG00000180182	ENST00000463072	0.01620	97	ENSMUSG00000064127	0.36960
ENSG00000171867	ENST00000379440	0.05650	90	ENSMUSG00000079037	0.74570
ENSG00000171867	ENST00000430350	0.05650	90	ENSMUSG00000079037	0.74570
ENSG00000171867	ENST00000424424	0.05650	90	ENSMUSG00000079037	0.74570
ENSG00000171867	ENST00000457586	0.05650	90	ENSMUSG00000079037	0.74570
ENSG00000050344	ENST00000056233	0.18470	67	ENSMUSG00000029832	0.49170
ENSG00000050344	ENST00000607375	0.18470	67	ENSMUSG00000029832	0.49170
ENSG00000050344	ENST00000606261	0.18470	67	ENSMUSG00000029832	0.49170
ENSG00000221869	ENST00000408965				
ENSG00000125285	ENST00000376945	0.00140	100	ENSMUSG00000061517	0.73600
ENSG00000273173	ENST00000577949				
ENSG00000273173	ENST00000580062				
ENSG00000273173	ENST00000338327				
ENSG00000170448	ENST00000502448	0.06140	87	ENSMUSG00000072889	0.50520
ENSG00000170448	ENST00000381538	0.06140	87	ENSMUSG00000072889	0.50520
ENSG00000170448	ENST00000464756	0.06140	87	ENSMUSG00000072889	0.50520
ENSG00000170448	ENST00000507489	0.06140	87	ENSMUSG00000072889	0.50520
ENSG00000170448	ENST00000507131	0.06140	87	ENSMUSG00000072889	0.50520
ENSG00000170448	ENST00000508115	0.06140	87	ENSMUSG00000072889	0.50520
ENSG00000170448	ENST00000511452	0.06140	87	ENSMUSG00000072889	0.50520
ENSG00000170448	ENST00000329043	0.06140	87	ENSMUSG00000072889	0.50520
ENSG00000205213	ENST00000379214	0.03880	93	ENSMUSG00000050199	0.34960
ENSG00000205213	ENST00000389858	0.03880	93	ENSMUSG00000050199	0.34960
ENSG00000205213	ENST00000489910	0.03880	93	ENSMUSG00000050199	0.34960
ENSG00000205213	ENST00000530658	0.03880	93	ENSMUSG00000050199	0.34960
ENSG00000205213	ENST00000527773	0.03880	93	ENSMUSG00000050199	0.34960
ENSG00000205213	ENST00000480977	0.03880	93	ENSMUSG00000050199	0.34960
ENSG00000165684	ENST00000298532	0.24460	58	ENSMUSG00000036281	0.73520
ENSG00000083642	ENST00000315596	0.01900	96	ENSMUSG00000034021	0.51440
ENSG00000083642	ENST00000482955	0.01900	96	ENSMUSG00000034021	0.51440
ENSG00000083642	ENST00000498550	0.01900	96	ENSMUSG00000034021	0.51440
ENSG00000083642	ENST00000450460	0.01900	96	ENSMUSG00000034021	0.51440
ENSG00000083642	ENST00000493653	0.01900	96	ENSMUSG00000034021	0.51440
ENSG00000083642	ENST00000466078	0.01900	96	ENSMUSG00000034021	0.51440
ENSG00000083642	ENST00000481616	0.01900	96	ENSMUSG00000034021	0.51440
ENSG00000083642	ENST00000447833	0.01900	96	ENSMUSG00000034021	0.51440
ENSG00000083642	ENST00000474274	0.01900	96	ENSMUSG00000034021	0.51440
ENSG00000134070	ENST00000256458	0.17710	70	ENSMUSG00000060477	0.80150
ENSG00000105717	ENST00000558276	0.12260	76	ENSMUSG00000031860	0.62750
ENSG00000105717	ENST00000557978	0.12260	76	ENSMUSG00000031860	0.62750
ENSG00000105717	ENST00000251203	0.12260	76	ENSMUSG00000031860	0.62750
ENSG00000105717	ENST00000558222	0.12260	76	ENSMUSG00000031860	0.62750
ENSG00000105717	ENST00000559735	0.12260	76	ENSMUSG00000031860	0.62750
ENSG00000186766	ENST00000388920	0.15200	72	ENSMUSG00000048377	1.04960
ENSG00000152443	ENST00000317178				
ENSG00000152443	ENST00000473585				
ENSG00000152443	ENST00000431353				
ENSG00000152443	ENST00000451849				
ENSG00000152443	ENST00000489376				
ENSG00000105229	ENST00000262971	0.04240	90	ENSMUSG00000004934	1.41950
ENSG00000105229	ENST00000599999	0.04240	90	ENSMUSG00000004934	1.41950
ENSG00000105229	ENST00000600566	0.04240	90	ENSMUSG00000004934	1.41950
